	ref	object_original	trade_original	url	object	trade
20	18036962	秦皇岛市公安局北戴河旅游旺季餐饮劳务服务项目竞争性谈判公告		http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202206/t20220608_18036962.htm	秦皇岛市公安局北戴河旅游旺季餐饮劳务服务项目竞争性谈判公告	
21	18036986	澄城县职业教育中心心理健康辅导室设备采购项目竞争性谈判公告		http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202206/t20220608_18036986.htm	澄城县职业教育中心心理健康辅导室设备采购项目竞争性谈判公告	
25	18037055	崇州市机关事务中心关于市委集中办公区物业服务采购项目竞争性谈判公告		http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202206/t20220608_18037055.htm	市委集中办公区物业服务采购项目竞争性谈判公告	
30	18037113	七台河市市场监督管理局2022年印刷服务分散采购项目(二次)竞争性谈判公告		http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202206/t20220608_18037113.htm	七台河市市场监督管理局年印刷服务分散采购项目二次竞争性谈判公告	
31	18037125	福建省党员电化教育中心摄制《党旗飘扬》系列专题片采购项目采购公告		http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202206/t20220608_18037125.htm	福建省党员电化教育中心摄制党旗飘扬系列专题片采购项目采购公告	
37	18037376	西昌市农业农村局烤烟房设备、配件采购（包括安装调试维护）竞争性谈判公告		http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202206/t20220608_18037376.htm	西昌市农业农村局烤烟房设备配件采购包括安装调试维护竞争性谈判公告	
39	18037451	福建工业学校经贸采购电子商务技能竞赛系统采购项目采购公告		http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202206/t20220608_18037451.htm	福建工业学校经贸采购电子商务技能竞赛系统采购项目采购公告	
42	18037543	武安市自然资源和规划局国土变更调查经费项目竞争性谈判公告		http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202206/t20220608_18037543.htm	武安市自然资源和规划局国土变更调查经费项目竞争性谈判公告	
47	18037813	泉州市皮肤病防治院医疗设备采购货物类采购项目采购公告		http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202206/t20220608_18037813.htm	泉州市皮肤病防治院医疗设备采购货物类采购项目采购公告	
48	18037831	成都市郫都区人民政府安靖街道办事处机关物业管理服务采购项目竞争性谈判公告		http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202206/t20220608_18037831.htm	成都市郫都区人民政府安靖街道办事处机关物业管理服务采购项目竞争性谈判公告	
52	18038068	福建信息职业技术学院平潭校区除湿机、工业吊扇采购项目采购公告		http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202206/t20220608_18038068.htm	福建信息职业技术学院平潭校区除湿机工业吊扇采购项目采购公告	
64	18038417	漳州城市职业学院云数据中心性能提升及平台软件升级货物类采购项目采购公告		http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202206/t20220608_18038417.htm	漳州城市职业学院云数据中心性能提升及平台软件升级货物类采购项目采购公告	
65	18038455	大庆市住房公积金管理中心机房运维保障维保服务竞争性谈判公告		http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202206/t20220608_18038455.htm	大庆市住房公积金管理中心机房运维保障维保服务竞争性谈判公告	
67	18038494	哈尔滨医科大学附属第二医院采购国产医疗设备竞争性谈判公告		http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202206/t20220608_18038494.htm	哈尔滨医科大学附属第二医院采购国产医疗设备竞争性谈判公告	
69	18038595	四川省特种设备检验研究院非定额公用经费物业管理服务项目竞争性谈判公告		http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202206/t20220608_18038595.htm	四川省特种设备检验研究院非定额公用经费物业管理服务项目竞争性谈判公告	
74	18038748	绥化学院玉米产业产教融合实训基地项目工程地勘服务(三次)竞争性谈判公告		http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202206/t20220608_18038748.htm	绥化学院玉米产业产教融合实训基地项目工程地勘服务三次竞争性谈判公告	
82	18039077	上街学区幼儿园功能室教学设备采购货物类采购项目采购公告		http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202206/t20220608_18039077.htm	上街学区幼儿园功能室教学设备采购货物类采购项目采购公告	
91	18039398	榆林市信访局联合接待中心维修改造项目竞争性谈判公告		http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202206/t20220608_18039398.htm	榆林市信访局联合接待中心维修改造项目竞争性谈判公告	
92	18039413	广州市老人院适老化家具采购项目（CJ2022-3001）竞争性谈判公告		http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202206/t20220608_18039413.htm	广州市老人院适老化家具采购项目竞争性谈判公告	
94	18039421	南充市妇幼保健计划生育服务中心彩色多普勒超声诊断仪采购项目竞争性谈判公告		http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202206/t20220608_18039421.htm	南充市妇幼保健计划生育服务中心彩色多普勒超声诊断仪采购项目竞争性谈判公告	
100	18039630	四川省非物质文化遗产保护中心2022年物业管理竞争性谈判公告		http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202206/t20220608_18039630.htm	四川省非物质文化遗产保护中心年物业管理竞争性谈判公告	
101	18039662	四川体育职业学院2022年不间断电源竞争性谈判公告		http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202206/t20220608_18039662.htm	四川体育职业学院年不间断电源竞争性谈判公告	
102	18039719	中国共产党兴文县纪律检查委员会采购执法执勤用车项目（第二次）竞争性谈判公告		http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202206/t20220608_18039719.htm	中国共产党兴文县纪律检查委员会采购执法执勤用车项目第二次竞争性谈判公告	
103	18039726	七台河市体育局市体育局冷冻机组采购(二次)竞争性谈判公告		http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202206/t20220608_18039726.htm	七台河市体育局市体育局冷冻机组采购二次竞争性谈判公告	
105	18039767	乡城县林业和草原局乡城县森林草原专业防灭火大队物资购置建设项目竞争性谈判公告		http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202206/t20220608_18039767.htm	乡城县林业和草原局乡城县森林草原专业防灭火大队物资购置建设项目竞争性谈判公告	
107	18039874	龙家圈沿街楼东采砂点回填工程竞争性谈判公告		http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202206/t20220608_18039874.htm	龙家圈沿街楼东采砂点回填工程竞争性谈判公告	
109	18039953	理县科学技术和农业畜牧水务局2022年防汛储备物资采购竞争性谈判公告		http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202206/t20220608_18039953.htm	理县科学技术和农业畜牧水务局年防汛储备物资采购竞争性谈判公告	
111	18040058	三明高速交警支队2022年至2024年印刷服务采购项目采购公告		http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202206/t20220608_18040058.htm	三明高速交警支队年至年印刷服务采购项目采购公告	
112	18040085	双鸭山市环境卫生服务中心轮胎竞争性谈判公告		http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202206/t20220608_18040085.htm	双鸭山市环境卫生服务中心轮胎竞争性谈判公告	
114	18040233	齐齐哈尔医学院学生宿舍（梅园）屋顶修缮项目竞争性谈判公告		http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202206/t20220608_18040233.htm	齐齐哈尔医学院学生宿舍梅园屋顶修缮项目竞争性谈判公告	
122	18040351	延安市自然资源局安塞分局关于安塞区白坪片区二期修建性详细规划编制服务采购项目竞争性谈判公告		http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202206/t20220608_18040351.htm	安塞区白坪片区二期修建性详细规划编制服务采购项目竞争性谈判公告	
123	18040407	卫生健康局机关喜德县基层卫生院医疗救护车采购项目竞争性谈判公告		http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202206/t20220608_18040407.htm	卫生健康局机关喜德县基层卫生院医疗救护车采购项目竞争性谈判公告	
124	18040446	青神县融媒体中心融媒体中心制播能力提升工程竞争性谈判公告		http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202206/t20220608_18040446.htm	青神县融媒体中心融媒体中心制播能力提升工程竞争性谈判公告	
127	18040511	四川省八一康复中心（四川省康复医院）早教机及点读笔竞争性谈判公告		http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202206/t20220608_18040511.htm	四川省八一康复中心四川省康复医院早教机及点读笔竞争性谈判公告	
130	18040679	邵武市沿山镇人民政府邵武市沿山镇上樵村台商驿站规划设计咨询陪伴式服务采购项目服务类采购项目采购公告		http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202206/t20220608_18040679.htm	邵武市沿山镇人民政府邵武市沿山镇上樵村台商驿站规划设计咨询陪伴式服务采购项目服务类采购项目采购公告	
131	18040690	闽侯县第二中学课桌椅和置物架采购货物类采购项目采购公告		http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202206/t20220608_18040690.htm	闽侯县第二中学课桌椅和置物架采购货物类采购项目采购公告	
138	18040948	剑阁县中医医院1.5T磁共振保修服务采购项目(二次)竞争性谈判公告		http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202206/t20220608_18040948.htm	剑阁县中医医院磁共振保修服务采购项目二次竞争性谈判公告	
140	18041016	府谷县公安局警务工作人员警服购置项目竞争性谈判公告		http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202206/t20220608_18041016.htm	府谷县公安局警务工作人员警服购置项目竞争性谈判公告	
150	18041221	达州市中西医结合医院实验室净化设备采购项目竞争性谈判采购公告		http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202206/t20220608_18041221.htm	达州市中西医结合医院实验室净化设备采购项目竞争性谈判采购公告	
153	18041384	上杭县公安局零星广告制作服务类采购项目采购公告		http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202206/t20220608_18041384.htm	上杭县公安局零星广告制作服务类采购项目采购公告	
154	18041398	内江市人力资源社会保障数据网络中心内江市人力资源社会保障12333咨询服务热线受理（接听）服务采购项目竞争性谈判公告		http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202206/t20220608_18041398.htm	内江市人力资源社会保障数据网络中心内江市人力资源社会保障咨询服务热线受理接听服务采购项目竞争性谈判公告	
155	18041403	南平市城市管理局执法执勤巡逻车采购项目货物类采购项目采购公告		http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202206/t20220608_18041403.htm	南平市城市管理局执法执勤巡逻车采购项目货物类采购项目采购公告	
159	18041490	绵阳市公安局专用试剂耗材竞争性谈判公告		http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202206/t20220608_18041490.htm	绵阳市公安局专用试剂耗材竞争性谈判公告	
161	18041519	绵阳市奥林匹克体育学校2022年陆上、小球项目器材采购竞争性谈判公告		http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202206/t20220608_18041519.htm	绵阳市奥林匹克体育学校年陆上小球项目器材采购竞争性谈判公告	
163	18041540	乡城县林业和草原局乡城县森林草原防火地方专业队伍能力建设项目竞争性谈判公告		http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202206/t20220608_18041540.htm	乡城县林业和草原局乡城县森林草原防火地方专业队伍能力建设项目竞争性谈判公告	
184	18041886	旺苍县中医医院抢救监护型救护特种车辆竞争性谈判公告		http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202206/t20220608_18041886.htm	旺苍县中医医院抢救监护型救护特种车辆竞争性谈判公告	
187	18042030	迁西县机关事务中心社会治理综合服务中心装修附属工程项目竞争性谈判公告		http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202206/t20220608_18042030.htm	迁西县机关事务中心社会治理综合服务中心装修附属工程项目竞争性谈判公告	
190	18042079	2022年永春六中综合大楼家具采购货物类采购项目采购公告		http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202206/t20220608_18042079.htm	年永春六中综合大楼家具采购货物类采购项目采购公告	
191	18042093	福建省连江黄如论中学福建省连江黄如论中学勤业楼电教设备采购项目货物类采购项目采购公告		http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202206/t20220608_18042093.htm	福建省连江黄如论中学福建省连江黄如论中学勤业楼电教设备采购项目货物类采购项目采购公告	
196	18042224	宜宾市疾病预防控制中心试剂耗材采购项目竞争性谈判公告		http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202206/t20220608_18042224.htm	宜宾市疾病预防控制中心试剂耗材采购项目竞争性谈判公告	
198	18042273	新疆鼎标招投标代理有限公司关于察布查尔锡伯自治县卫生健康委员会核酸采样试管及耗材采购项目的竞争性谈判公告		http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202206/t20220608_18042273.htm	察布查尔锡伯自治县卫生健康委员会核酸采样试管及耗材采购项目的竞争性谈判公告	
201	18042302	紫阳县蒿坪河流域应急监测服务项目竞争性磋商公告		http://www.ccgp.gov.cn/cggg/dfgg/jzxcs/202206/t20220608_18042302.htm	紫阳县蒿坪河流域应急监测服务项目竞争性磋商公告	
202	18042310	都司镇白刘庄行政村2022年衔接资金车间项目竞争性谈判公告		http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202206/t20220608_18042310.htm	都司镇白刘庄行政村年衔接资金车间项目竞争性谈判公告	
203	18042319	仁寿县综合行政执法局购执法装备竞争性谈判公告		http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202206/t20220608_18042319.htm	仁寿县综合行政执法局购执法装备竞争性谈判公告	
206	18042340	周至县教科局实验小学清表工程竞争性磋商公告		http://www.ccgp.gov.cn/cggg/dfgg/jzxcs/202206/t20220608_18042340.htm	周至县教科局实验小学清表工程竞争性磋商公告	
207	18042341	聊城市生态环境局东阿县分局采购社会环境监测技术服务项目竞争性磋商公告		http://www.ccgp.gov.cn/cggg/dfgg/jzxcs/202206/t20220608_18042341.htm	聊城市生态环境局东阿县分局采购社会环境监测技术服务项目竞争性磋商公告	
208	18042344	潍坊北辰中学安保人员和消防控制室值班人员配备项目竞争性磋商公告		http://www.ccgp.gov.cn/cggg/dfgg/jzxcs/202206/t20220608_18042344.htm	潍坊北辰中学安保人员和消防控制室值班人员配备项目竞争性磋商公告	
210	18042353	内蒙古自治区人民医院GE磁共振保修服务采购竞争性磋商公告		http://www.ccgp.gov.cn/cggg/dfgg/jzxcs/202206/t20220608_18042353.htm	内蒙古自治区人民医院磁共振保修服务采购竞争性磋商公告	
211	18042354	博兴经济开发区基础设施建设提升项目道路升级改造工程四期监理服务采购竞争性磋商公告		http://www.ccgp.gov.cn/cggg/dfgg/jzxcs/202206/t20220608_18042354.htm	博兴经济开发区基础设施建设提升项目道路升级改造工程四期监理服务采购竞争性磋商公告	
213	18042362	智慧安防小区市级数据平台项目竞争性磋商公告		http://www.ccgp.gov.cn/cggg/dfgg/jzxcs/202206/t20220608_18042362.htm	智慧安防小区市级数据平台项目竞争性磋商公告	
215	18042372	地铁分局新建站点巡更系统建设及全线巡更系统运维、等级测评项目竞争性磋商公告		http://www.ccgp.gov.cn/cggg/dfgg/jzxcs/202206/t20220608_18042372.htm	地铁分局新建站点巡更系统建设及全线巡更系统运维等级测评项目竞争性磋商公告	
216	18042373	2022年高青县花沟镇岳家村衔接资金巩固提升示范村优质蔬菜大棚提升改造项目		http://www.ccgp.gov.cn/cggg/dfgg/jzxcs/202206/t20220608_18042373.htm	年高青县花沟镇岳家村衔接资金巩固提升示范村优质蔬菜大棚提升改造项目	
217	18042374	山东工业职业学院零星印刷服务采购项目（1397）竞争性磋商公告		http://www.ccgp.gov.cn/cggg/dfgg/jzxcs/202206/t20220608_18042374.htm	山东工业职业学院零星印刷服务采购项目竞争性磋商公告	
218	18042382	山东省烟台市莱州市平里店镇联村2022年光伏发电项目竞争性磋商公告		http://www.ccgp.gov.cn/cggg/dfgg/jzxcs/202206/t20220608_18042382.htm	山东省烟台市莱州市平里店镇联村年光伏发电项目竞争性磋商公告	
219	18042383	山东省烟台市福山区烟台市福山区水利局清洋河（内夹河）护岸杂草清理、缝隙修复工程施工项目（四次）竞争性磋商公告		http://www.ccgp.gov.cn/cggg/dfgg/jzxcs/202206/t20220608_18042383.htm	山东省烟台市福山区烟台市福山区水利局清洋河内夹河护岸杂草清理缝隙修复工程施工项目四次竞争性磋商公告	
220	18042385	2022年高青县花沟镇花东村衔接资金巩固提升示范村便民服务设施提升改造项目		http://www.ccgp.gov.cn/cggg/dfgg/jzxcs/202206/t20220608_18042385.htm	年高青县花沟镇花东村衔接资金巩固提升示范村便民服务设施提升改造项目	
221	18042392	井研县集益镇人民政府集赛功河河道生态修复项目(二次)竞争性磋商公告		http://www.ccgp.gov.cn/cggg/dfgg/jzxcs/202206/t20220608_18042392.htm	井研县集益镇人民政府集赛功河河道生态修复项目二次竞争性磋商公告	
228	18042429	济宁医学院2022年基因测序仪采购项目竞争性磋商公告		http://www.ccgp.gov.cn/cggg/dfgg/jzxcs/202206/t20220608_18042429.htm	济宁医学院年基因测序仪采购项目竞争性磋商公告	
229	18042431	聊城开发区周公河除水草项目竞争性磋商公告		http://www.ccgp.gov.cn/cggg/dfgg/jzxcs/202206/t20220608_18042431.htm	聊城开发区周公河除水草项目竞争性磋商公告	
230	18042432	济宁医学院2022年护理康养大数据项目竞争性磋商公告		http://www.ccgp.gov.cn/cggg/dfgg/jzxcs/202206/t20220608_18042432.htm	济宁医学院年护理康养大数据项目竞争性磋商公告	
233	18042461	通州区妇幼保健院儿童院区发热门诊采购医疗设备项目竞争性谈判公告		http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202206/t20220608_18042461.htm	通州区妇幼保健院儿童院区发热门诊采购医疗设备项目竞争性谈判公告	
237	18042468	留坝县档案局留坝县党性教育基地设备及软件采购项目竞争性磋商公告		http://www.ccgp.gov.cn/cggg/dfgg/jzxcs/202206/t20220608_18042468.htm	留坝县档案局留坝县党性教育基地设备及软件采购项目竞争性磋商公告	
242	18042546	济南市市中区住房和城乡建设局济南市市中区住房和城乡建设局2022年度老旧小区改造工程六里山、杆石桥等10个片区二期结算审计服务项目竞争性磋商公告		http://www.ccgp.gov.cn/cggg/dfgg/jzxcs/202206/t20220608_18042546.htm	济南市市中区住房和城乡建设局济南市市中区住房和城乡建设局年度老旧小区改造工程六里山杆石桥等个片区二期结算审计服务项目竞争性磋商公告	
243	18042548	河口区残疾儿童及贫困残疾人托养服务项目		http://www.ccgp.gov.cn/cggg/dfgg/jzxcs/202206/t20220608_18042548.htm	河口区残疾儿童及贫困残疾人托养服务项目	
244	18042555	济南市历下区人民政府解放路街道办事处（本级）济南市历下区人民政府解放路街道办事处2022年环境综合整治项目竞争性磋商公告		http://www.ccgp.gov.cn/cggg/dfgg/jzxcs/202206/t20220608_18042555.htm	济南市历下区人民政府解放路街道办事处本级济南市历下区人民政府解放路街道办事处年环境综合整治项目竞争性磋商公告	
246	18042571	2022年茂南区残疾人联合会困难残疾人家庭无障碍改造服务(二次)竞争性磋商公告		http://www.ccgp.gov.cn/cggg/dfgg/jzxcs/202206/t20220608_18042571.htm	年茂南区残疾人联合会困难残疾人家庭无障碍改造服务二次竞争性磋商公告	
248	18042573	神木市水务集团瑶镇水库供水有限公司水资源论证报告服务竞争性谈判公告		http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202206/t20220608_18042573.htm	神木市水务集团瑶镇水库供水有限公司水资源论证报告服务竞争性谈判公告	
249	18042574	临空经济区管委会临空经济融入成都都市圈发展战略研究竞争性磋商公告		http://www.ccgp.gov.cn/cggg/dfgg/jzxcs/202206/t20220608_18042574.htm	临空经济区管委会临空经济融入成都都市圈发展战略研究竞争性磋商公告	
254	18042618	自贡市自流井区财政投资评审中心政府投资项目竣工决（结）算评审委托业务项目竞争性磋商公告		http://www.ccgp.gov.cn/cggg/dfgg/jzxcs/202206/t20220608_18042618.htm	自贡市自流井区财政投资评审中心政府投资项目竣工决结算评审委托业务项目竞争性磋商公告	
255	18042619	自贡市自流井区市场监督管理局2022年自贡市自流井区食品抽检服务项目竞争性磋商公告		http://www.ccgp.gov.cn/cggg/dfgg/jzxcs/202206/t20220608_18042619.htm	自贡市自流井区市场监督管理局年自贡市自流井区食品抽检服务项目竞争性磋商公告	
260	18042671	南溪公园凤翔河支流清淤及绿化提升项目竞争性磋商公告		http://www.ccgp.gov.cn/cggg/dfgg/jzxcs/202206/t20220608_18042671.htm	南溪公园凤翔河支流清淤及绿化提升项目竞争性磋商公告	
261	18042686	集美区锦园西路等14处路段电子警察系统建设采购公告		http://www.ccgp.gov.cn/cggg/dfgg/jzxcs/202206/t20220608_18042686.htm	集美区锦园西路等处路段电子警察系统建设采购公告	
264	18042700	闽江师范高等专科学校生活垃圾外运服务采购项目采购公告		http://www.ccgp.gov.cn/cggg/dfgg/jzxcs/202206/t20220608_18042700.htm	闽江师范高等专科学校生活垃圾外运服务采购项目采购公告	
265	18042701	福建省漳州市医院高新区智慧医院初步设计方案编制采购项目采购公告		http://www.ccgp.gov.cn/cggg/dfgg/jzxcs/202206/t20220608_18042701.htm	福建省漳州市医院高新区智慧医院初步设计方案编制采购项目采购公告	
267	18042723	虎林市区域经济发展服务中心招商引资宣传品(二次)竞争性磋商公告		http://www.ccgp.gov.cn/cggg/dfgg/jzxcs/202206/t20220608_18042723.htm	虎林市区域经济发展服务中心招商引资宣传品二次竞争性磋商公告	
268	18042728	白沙黎族自治县农业农村局-白沙黎族自治县元门乡翁村一、四队农村人居环境整治提升工程-竞争性磋商公告		http://www.ccgp.gov.cn/cggg/dfgg/jzxcs/202206/t20220608_18042728.htm	白沙黎族自治县农业农村局白沙黎族自治县元门乡翁村一四队农村人居环境整治提升工程竞争性磋商公告	
274	18042751	滕州五中2022年教师周转房改造、厕所改造及零星工程采购项目竞争性磋商公告		http://www.ccgp.gov.cn/cggg/dfgg/jzxcs/202206/t20220608_18042751.htm	滕州五中年教师周转房改造厕所改造及零星工程采购项目竞争性磋商公告	
281	18042779	潍坊市公共就业和人才服务中心2022年流动人员人事档案规范化数字化建设项目竞争性磋商公告		http://www.ccgp.gov.cn/cggg/dfgg/jzxcs/202206/t20220608_18042779.htm	潍坊市公共就业和人才服务中心年流动人员人事档案规范化数字化建设项目竞争性磋商公告	
283	18042787	岐山县北斜路麦犁河桥水毁恢复重建工程竞争性磋商公告		http://www.ccgp.gov.cn/cggg/dfgg/jzxcs/202206/t20220608_18042787.htm	岐山县北斜路麦犁河桥水毁恢复重建工程竞争性磋商公告	
288	18042798	滕州市畜禽养殖污染防治规划编制采购项目竞争性磋商公告		http://www.ccgp.gov.cn/cggg/dfgg/jzxcs/202206/t20220608_18042798.htm	滕州市畜禽养殖污染防治规划编制采购项目竞争性磋商公告	
290	18042806	漠河市北极镇人民政府北极镇北红村有机肥生产线建设项目竞争性谈判公告		http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202206/t20220608_18042806.htm	漠河市北极镇人民政府北极镇北红村有机肥生产线建设项目竞争性谈判公告	
292	18042812	子洲县残疾人联合会关于政府购买托养服务采购项目竞争性磋商公告		http://www.ccgp.gov.cn/cggg/dfgg/jzxcs/202206/t20220608_18042812.htm	政府购买托养服务采购项目竞争性磋商公告	
296	18042823	泰安高新区良庄镇2021年度精品蔬菜分拣中心建设项目（二期）竞争性磋商公告		http://www.ccgp.gov.cn/cggg/dfgg/jzxcs/202206/t20220608_18042823.htm	泰安高新区良庄镇年度精品蔬菜分拣中心建设项目二期竞争性磋商公告	
299	18042839	四川省体育局2022-2023年度青少年(含幼儿)体育竞赛及活动组织者责任险保险项目竞争性磋商采购公告		http://www.ccgp.gov.cn/cggg/dfgg/jzxcs/202206/t20220608_18042839.htm	四川省体育局年度青少年含幼儿体育竞赛及活动组织者责任险保险项目竞争性磋商采购公告	
303	18042852	茂县科学技术和农业畜牧局2022年茂县洼底镇百和村产业园区建设项目竞争性磋商采购公告		http://www.ccgp.gov.cn/cggg/dfgg/jzxcs/202206/t20220608_18042852.htm	茂县科学技术和农业畜牧局年茂县洼底镇百和村产业园区建设项目竞争性磋商采购公告	
304	18042856	济宁医学院2022年公务车维修保养服务竞争性磋商公告		http://www.ccgp.gov.cn/cggg/dfgg/jzxcs/202206/t20220608_18042856.htm	济宁医学院年公务车维修保养服务竞争性磋商公告	
305	18042858	内蒙古工业大学材料学院材料成型及控制工程专业教学实验平台建设项目(二次)竞争性磋商公告		http://www.ccgp.gov.cn/cggg/dfgg/jzxcs/202206/t20220608_18042858.htm	内蒙古工业大学材料学院材料成型及控制工程专业教学实验平台建设项目二次竞争性磋商公告	
306	18042859	眉县应急管理局卫星通信终端采购项目竞争性磋商公告		http://www.ccgp.gov.cn/cggg/dfgg/jzxcs/202206/t20220608_18042859.htm	眉县应急管理局卫星通信终端采购项目竞争性磋商公告	
308	18042877	石家庄市发展和改革委员会2022年价格成本监审服务(二次)竞争性磋商公告		http://www.ccgp.gov.cn/cggg/dfgg/jzxcs/202206/t20220608_18042877.htm	石家庄市发展和改革委员会年价格成本监审服务二次竞争性磋商公告	
