	ref	object_original	trade_original	url	object	trade
36	18037339	长春经济技术开发区建设工程管理中心长春市五大污水处理系统“一厂一策”提质增效工程项目——经开区工程项目（二标段）造价服务、长春市五大污水处理系统“一厂一策”提质增效工程项目——经开区工程项目（二标段）施工图审查服务竞争性谈判公告	服务/其他服务	http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202206/t20220608_18037339.htm	长春经济技术开发区建设工程管理中心长春市五大污水处理系统一厂一策提质增效工程项目经开区工程项目二标段造价服务长春市五大污水处理系统一厂一策提质增效工程项目经开区工程项目二标段施工图审查服务竞争性谈判公告	服务
38	18037432	尤溪县总医院新冠肺炎疫情防控物资采购项目竞争性谈判公告	服务/批发和零售服务/零售服务/医药和医疗器材专门零售服务	http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202206/t20220608_18037432.htm	尤溪县总医院新冠肺炎疫情防控物资采购项目竞争性谈判公告	服务
40	18037454	贵州交通技师学院（贵州省交通运输学校）2022-2024年度学生学平险与顶岗实习个人险采购项目（二次）竞争性谈判公告	服务/金融服务/保险服务/其他保险服务	http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202206/t20220608_18037454.htm	贵州交通技师学院贵州省交通运输学校年度学生学平险与顶岗实习个人险采购项目二次竞争性谈判公告	服务
41	18037474	永吉县实验职业高中学生宿舍床购置项目竞争性谈判公告	货物/家具用具/床类/其他床类	http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202206/t20220608_18037474.htm	永吉县实验职业高中学生宿舍床购置项目竞争性谈判公告	货物
43	18037553	天津市宁河区急救分中心救护车辆保险服务项目竞争性谈判公告	服务/金融服务/其他金融服务	http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202206/t20220608_18037553.htm	天津市宁河区急救分中心救护车辆保险服务项目竞争性谈判公告	服务
44	18037641	某部工程勘察设计服务采购项目竞争性谈判公告	服务/工程咨询管理服务/工程设计服务	http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202206/t20220608_18037641.htm	某部工程勘察设计服务采购项目竞争性谈判公告	服务
45	18037654	某部军史文化长廊建设项目竞争性谈判公告	工程/装修工程,服务/工程咨询管理服务/工程设计服务	http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202206/t20220608_18037654.htm	某部军史文化长廊建设项目竞争性谈判公告	服务
46	18037784	中国民用航空新疆管理局新疆民航应对突发事件总体预案及各专项预案、民航新疆管理局应对突发事件总体预案及各专项预案修订竞争性谈判公告	服务/专业技术服务/其他专业技术服务	http://www.ccgp.gov.cn/cggg/zygg/jzxtpgg/202206/t20220608_18037784.htm	中国民用航空新疆管理局新疆民航应对突发事件总体预案及各专项预案民航新疆管理局应对突发事件总体预案及各专项预案修订竞争性谈判公告	服务
49	18037869	港珠澳大桥站2022年微电影《抉择》拍摄服务项目竞争性谈判公告	服务/文化、体育、娱乐服务/广播、电视、电影和音像服务/音像制作服务	http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202206/t20220608_18037869.htm	港珠澳大桥站年微电影抉择拍摄服务项目竞争性谈判公告	服务
50	18037881	荆门市漳河新区交通运输局348国道荆门市响岭至谢花桥段公路改建工程水土保持监测及水土保持竣工验收技术服务竞争性谈判公告	服务/其他服务	http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202206/t20220608_18037881.htm	荆门市漳河新区交通运输局国道荆门市响岭至谢花桥段公路改建工程水土保持监测及水土保持竣工验收技术服务竞争性谈判公告	服务
51	18037888	汉源县九襄镇人民政府2021年撤并建制村畅通工程生命安全防护工程项目（第二次）竞争性谈判公告	工程/构筑物施工/城市道路工程施工	http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202206/t20220608_18037888.htm	汉源县九襄镇人民政府年撤并建制村畅通工程生命安全防护工程项目第二次竞争性谈判公告	工程
53	18038084	拉萨市公安局交通警察支队交通信号灯倒计时采购项目竞争性谈判公告	货物/其他货物/其他不另分类的物品	http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202206/t20220608_18038084.htm	拉萨市公安局交通警察支队交通信号灯倒计时采购项目竞争性谈判公告	货物
54	18038102	贵州交通技师学院（贵州省交通运输学校）2022-2024年度学生校方责任险与顶岗实习校方责任险采购项目（二次）竞争性谈判公告	服务/金融服务/保险服务/其他保险服务	http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202206/t20220608_18038102.htm	贵州交通技师学院贵州省交通运输学校年度学生校方责任险与顶岗实习校方责任险采购项目二次竞争性谈判公告	服务
55	18038160	德惠市米沙子镇人民政府西朝阳大街道路提升改造工程监理服务项目（二次）竞争性谈判公告竞争性谈判公告	服务/工程咨询管理服务/工程监理服务	http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202206/t20220608_18038160.htm	德惠市米沙子镇人民政府西朝阳大街道路提升改造工程监理服务项目二次竞争性谈判公告竞争性谈判公告	服务
56	18038168	大安市2022年水稻重大害虫性信息素诱控技术示范项目竞争性谈判公告	货物/其他货物/其他不另分类的物品	http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202206/t20220608_18038168.htm	大安市年水稻重大害虫性信息素诱控技术示范项目竞争性谈判公告	货物
57	18038282	塔城某单位律师服务采购项目（二次）竞争性谈判公告	服务/商务服务/法律服务/知识产权法律服务,服务/商务服务/法律服务/法律文件代理服务,服务/商务服务/法律服务/法律咨询服务,服务/商务服务/法律服务/法律援助服务,服务/商务服务/法律服务/	http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202206/t20220608_18038282.htm	塔城某单位律师服务采购项目二次竞争性谈判公告	服务
58	18038298	拘留所项目整改完善工程（重）竞争性谈判公告	工程/装修工程	http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202206/t20220608_18038298.htm	拘留所项目整改完善工程重竞争性谈判公告	工程
59	18038335	敦化市翰章乡人民政府翰章乡孤山子村黄牛养殖小区建设项目竞争性谈判公告	工程/其他建筑工程	http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202206/t20220608_18038335.htm	敦化市翰章乡人民政府翰章乡孤山子村黄牛养殖小区建设项目竞争性谈判公告	工程
60	18038337	厦门市公物采购招投标有限公司泉州分公司关于GWCG2022-516泉州五中城东校区击剑馆等建设项目的采购公告	工程/装修工程	http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202206/t20220608_18038337.htm	泉州五中城东校区击剑馆等建设项目的采购公告	工程
61	18038372	敦化市翰章乡人民政府翰章乡大兴村少数民族特色民宿建设项目竞争性谈判公告	工程/建筑物施工/其他建筑物施工	http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202206/t20220608_18038372.htm	敦化市翰章乡人民政府翰章乡大兴村少数民族特色民宿建设项目竞争性谈判公告	工程
62	18038385	某单位多功能维护平台（二次）竞争性谈判公告	货物/其他货物/其他不另分类的物品	http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202206/t20220608_18038385.htm	某单位多功能维护平台二次竞争性谈判公告	货物
63	18038387	吐尔尕特出入境边防检查站2022年广告制作类协议采购项目竞争性谈判公告	货物/其他货物/其他不另分类的物品	http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202206/t20220608_18038387.htm	吐尔尕特出入境边防检查站年广告制作类协议采购项目竞争性谈判公告	货物
66	18038475	南宁市第一人民医院电子下消化道内窥镜竞争性谈判公告	货物/其他货物/其他不另分类的物品	http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202206/t20220608_18038475.htm	南宁市第一人民医院电子下消化道内窥镜竞争性谈判公告	货物
68	18038510	吉林省畜牧业管理局畜产品质量安全应急检测车车载快速检测仪器设备采购项目竞争性谈判采购信息公告	货物/通用设备/仪器仪表/分析仪器/其他分析仪器	http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202206/t20220608_18038510.htm	吉林省畜牧业管理局畜产品质量安全应急检测车车载快速检测仪器设备采购项目竞争性谈判采购信息公告	货物
70	18038624	福建瑞晟建设工程造价咨询有限公司关于福建省泉州第五中学泉州五中城东校区宿舍家具与学生课桌椅采购项目竞争性谈判公告	货物/家具用具/其他家具用具	http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202206/t20220608_18038624.htm	福建省泉州第五中学泉州五中城东校区宿舍家具与学生课桌椅采购项目竞争性谈判公告	货物
71	18038631	某部丙烷采购项目竞争性谈判公告	服务/其他服务	http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202206/t20220608_18038631.htm	某部丙烷采购项目竞争性谈判公告	服务
72	18038730	厦门万翔-竞争性谈判-XM2022-TZ5096厦门市翔安区金海小学厨房改造工程采购公告	工程/其他建筑工程	http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202206/t20220608_18038730.htm	厦门万翔竞争性谈判厦门市翔安区金海小学厨房改造工程采购公告	工程
73	18038742	江西省百巨招标咨询有限公司关于江西科技师范大学路演室观摩室设备租赁项目（采购编号：JXBJ22121313702）第二次竞争性谈判采购公告	服务/租赁服务（不带操作员）/计算机设备和软件租赁服务	http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202206/t20220608_18038742.htm	江西科技师范大学路演室观摩室设备租赁项目采购编号第二次竞争性谈判采购公告	服务
75	18038834	某部民兵训练后勤饮食保障服务项目竞争性谈判公告	服务/其他服务	http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202206/t20220608_18038834.htm	某部民兵训练后勤饮食保障服务项目竞争性谈判公告	服务
76	18038844	北大荒集团红兴隆医院工会运动会奖品采购项目竞争性谈判公告	货物/其他货物/其他不另分类的物品	http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202206/t20220608_18038844.htm	北大荒集团红兴隆医院工会运动会奖品采购项目竞争性谈判公告	货物
77	18038903	北大荒集团红兴隆医院工会运动会服装采购项目竞争性谈判公告	货物/其他货物/其他不另分类的物品	http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202206/t20220608_18038903.htm	北大荒集团红兴隆医院工会运动会服装采购项目竞争性谈判公告	货物
78	18038910	中国人民解放军某部制作油罐容积表和加装加油机项目谈判公告	货物/其他货物/其他不另分类的物品	http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202206/t20220608_18038910.htm	中国人民解放军某部制作油罐容积表和加装加油机项目谈判公告	货物
79	18038918	安庆医药高等专科学校职工之家专用电缆、空调线路采购及安装项目竞争性谈判公告	货物/通用设备/电气设备/绝缘电线和电缆	http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202206/t20220608_18038918.htm	安庆医药高等专科学校职工之家专用电缆空调线路采购及安装项目竞争性谈判公告	货物
80	18038973	厦门万翔-竞争性谈判-XM2022-TZ5098厦门市翔安区珩厝小学球场改造采购公告	工程/其他建筑工程	http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202206/t20220608_18038973.htm	厦门万翔竞争性谈判厦门市翔安区珩厝小学球场改造采购公告	工程
81	18038993	北大荒集团红兴隆医院工会运动会外包服务项目竞争性谈判公告	货物/其他货物/其他不另分类的物品	http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202206/t20220608_18038993.htm	北大荒集团红兴隆医院工会运动会外包服务项目竞争性谈判公告	货物
83	18039093	永吉县人民检察院移动办公平台租用及数据流量采购项目竞争性谈判公告	服务/其他服务	http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202206/t20220608_18039093.htm	永吉县人民检察院移动办公平台租用及数据流量采购项目竞争性谈判公告	服务
84	18039136	某部库房综合整治项目竞争性谈判公告	工程/建筑物施工/仓储用房施工	http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202206/t20220608_18039136.htm	某部库房综合整治项目竞争性谈判公告	工程
85	18039184	北大荒集团红兴隆医院第三方检验外包采购项目竞争性谈判公告	货物/其他货物/其他不另分类的物品	http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202206/t20220608_18039184.htm	北大荒集团红兴隆医院第三方检验外包采购项目竞争性谈判公告	货物
86	18039238	眉山市疾控中心机房建设采购竞争性谈判公告	货物/其他货物/其他不另分类的物品	http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202206/t20220608_18039238.htm	眉山市疾控中心机房建设采购竞争性谈判公告	货物
87	18039295	广元市中心医院行政楼一层大厅整改项目竞争性谈判公告	工程/其他建筑工程	http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202206/t20220608_18039295.htm	广元市中心医院行政楼一层大厅整改项目竞争性谈判公告	工程
88	18039307	某部柴油采购项目竞争性谈判公告	货物/炼焦产品、炼油产品/石油制品/柴油	http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202206/t20220608_18039307.htm	某部柴油采购项目竞争性谈判公告	货物
89	18039312	某部围墙修建项目竞争性谈判公告	工程/建筑物施工/其他建筑物施工	http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202206/t20220608_18039312.htm	某部围墙修建项目竞争性谈判公告	工程
90	18039342	北大荒集团红兴隆医院电离环境设备测评采购项目竞争性谈判公告	货物/其他货物/其他不另分类的物品	http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202206/t20220608_18039342.htm	北大荒集团红兴隆医院电离环境设备测评采购项目竞争性谈判公告	货物
93	18039415	天津完达山乳品有限公司2018年液态奶改造升级项目—钢制托盘采购项目竞争性谈判公告	货物/其他货物/其他不另分类的物品	http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202206/t20220608_18039415.htm	天津完达山乳品有限公司年液态奶改造升级项目钢制托盘采购项目竞争性谈判公告	货物
95	18039434	某库房综合整治项目竞争性谈判公告	工程/建筑物施工/仓储用房施工	http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202206/t20220608_18039434.htm	某库房综合整治项目竞争性谈判公告	工程
96	18039479	寿宁县自然资源局寿宁县耕地资源质量分类年度更新与监测评价采购服务项目竞争性谈判公告	服务/其他服务	http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202206/t20220608_18039479.htm	寿宁县自然资源局寿宁县耕地资源质量分类年度更新与监测评价采购服务项目竞争性谈判公告	服务
97	18039511	管网改造及综合运动场建设工程设计服务采购项目竞争性谈判公告	服务/工程咨询管理服务/工程设计服务	http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202206/t20220608_18039511.htm	管网改造及综合运动场建设工程设计服务采购项目竞争性谈判公告	服务
98	18039547	高风速淋雨试验箱采购项目竞争性谈判采购公告	货物/其他货物/其他不另分类的物品	http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202206/t20220608_18039547.htm	高风速淋雨试验箱采购项目竞争性谈判采购公告	货物
99	18039591	北大荒集团总医院空调维修配件采购项目竞争性谈判公告	货物/其他货物/其他不另分类的物品	http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202206/t20220608_18039591.htm	北大荒集团总医院空调维修配件采购项目竞争性谈判公告	货物
104	18039746	庐山市妇幼保健计划生育服务中心（庐山市妇幼保健院）自动听性脑干反应筛查仪采购项目竞争性谈判公告	货物/专用设备/医疗设备/其他医疗设备	http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202206/t20220608_18039746.htm	庐山市妇幼保健计划生育服务中心庐山市妇幼保健院自动听性脑干反应筛查仪采购项目竞争性谈判公告	货物
106	18039872	长春经济技术开发区建设工程管理中心经开区排水管渠污泥运输、处置服务采购项目（二次）竞争性谈判公告	服务/其他服务	http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202206/t20220608_18039872.htm	长春经济技术开发区建设工程管理中心经开区排水管渠污泥运输处置服务采购项目二次竞争性谈判公告	服务
108	18039916	庐山市妇幼保健计划生育服务中心（庐山市妇幼保健院）双目视力筛查仪采购项目竞争性谈判公告	货物/专用设备/医疗设备/其他医疗设备	http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202206/t20220608_18039916.htm	庐山市妇幼保健计划生育服务中心庐山市妇幼保健院双目视力筛查仪采购项目竞争性谈判公告	货物
110	18039980	什字镇2022年东西部协作财政援助资金果园规范管理提升项目竞争性谈判公告	货物	http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202206/t20220608_18039980.htm	什字镇年东西部协作财政援助资金果园规范管理提升项目竞争性谈判公告	货物
113	18040196	庐山市妇幼保健计划生育服务中心（庐山市妇幼保健院）骨密测量仪采购项目竞争性谈判公告	货物/专用设备/医疗设备/其他医疗设备	http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202206/t20220608_18040196.htm	庐山市妇幼保健计划生育服务中心庐山市妇幼保健院骨密测量仪采购项目竞争性谈判公告	货物
115	18040246	中金招标代理有限责任公司关于南昌市公安局刑事侦查支队刑科所现场勘验信息系统V3.2版升级建设采购项目（0773-2241GNJXFWJT1629）竞争性谈判采购公告	服务/信息技术服务/信息系统集成实施服务/软件集成实施服务	http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202206/t20220608_18040246.htm	南昌市公安局刑事侦查支队刑科所现场勘验信息系统版升级建设采购项目竞争性谈判采购公告	服务
116	18040255	应急视频会商指挥系统建设项目竞争性谈判公告	货物/通用设备/计算机设备及软件/其他计算机设备及软件	http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202206/t20220608_18040255.htm	应急视频会商指挥系统建设项目竞争性谈判公告	货物
117	18040274	厦门务实-竞争性谈判-2022-WS356建筑智能化系统安装与调试采购公告	服务/其他服务	http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202206/t20220608_18040274.htm	厦门务实竞争性谈判建筑智能化系统安装与调试采购公告	服务
118	18040283	东辽县消防救援大队主副食品采购项目竞争性谈判公告	货物/食品、饮料和烟草原料/食品及加工盐/其他食品	http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202206/t20220608_18040283.htm	东辽县消防救援大队主副食品采购项目竞争性谈判公告	货物
119	18040287	广元市昭化区林业局广元市昭化区2022年野生动物致害政府救助责任保险服务项目竞争性谈判公告	服务/金融服务/保险服务/其他保险服务	http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202206/t20220608_18040287.htm	广元市昭化区林业局广元市昭化区年野生动物致害政府救助责任保险服务项目竞争性谈判公告	服务
120	18040297	车辆社会化保障服务采购项目竞争性谈判公告	服务/维修和保养服务/车辆维修和保养服务/车辆维修和保养服务	http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202206/t20220608_18040297.htm	车辆社会化保障服务采购项目竞争性谈判公告	服务
121	18040337	某部外宣氛围设计制作项目竞争性谈判公告	服务/商务服务/广告服务	http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202206/t20220608_18040337.htm	某部外宣氛围设计制作项目竞争性谈判公告	服务
125	18040459	辽源市公安局DNA耗材采购项目竞争性谈判公告	货物/其他货物/其他不另分类的物品	http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202206/t20220608_18040459.htm	辽源市公安局耗材采购项目竞争性谈判公告	货物
126	18040463	辽宁省女子监狱车底、车顶扫描系统设备采购项目竞争性谈判公告	货物/通用设备/雷达、无线电和卫星导航设备/地面雷达/地面交通管制雷达	http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202206/t20220608_18040463.htm	辽宁省女子监狱车底车顶扫描系统设备采购项目竞争性谈判公告	货物
128	18040628	广西国有钦廉林场文利分场新场部办公楼配套工程（QZZC2022-J2-00045-GXTL）竞争性谈判公告	工程/其他建筑工程	http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202206/t20220608_18040628.htm	广西国有钦廉林场文利分场新场部办公楼配套工程竞争性谈判公告	工程
129	18040673	某部部分设施维修改造项目竞争性谈判公告	工程/建筑物施工/其他建筑物施工	http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202206/t20220608_18040673.htm	某部部分设施维修改造项目竞争性谈判公告	工程
132	18040718	固原市中医医院检验科所需试剂采购项目竞争性谈判公告	货物/医药品/医用材料/病人医用试剂/血型试剂,货物/医药品/生物化学制品/诊断用生物制品/诊断用生物试剂盒	http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202206/t20220608_18040718.htm	固原市中医医院检验科所需试剂采购项目竞争性谈判公告	货物
133	18040733	厦门方信-竞争性谈判-FX2022-SH154-计算机教室设施设备采购-采购公告	货物/通用设备/计算机设备及软件/计算机网络设备/其他网络设备	http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202206/t20220608_18040733.htm	厦门方信竞争性谈判计算机教室设施设备采购采购公告	货物
134	18040740	漳州高新技术产业开发区行政执法局高新区行政执法局2022年度动车站广场及周边零星维修维护服务竞争性谈判公告	服务/维修和保养服务/其他维修和保养服务	http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202206/t20220608_18040740.htm	漳州高新技术产业开发区行政执法局高新区行政执法局年度动车站广场及周边零星维修维护服务竞争性谈判公告	服务
135	18040766	唐山市丰润区某单位宿办楼后绿化工程竞争性谈判公告	工程/构筑物施工/公共设施施工/园林绿化工程施工	http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202206/t20220608_18040766.htm	唐山市丰润区某单位宿办楼后绿化工程竞争性谈判公告	工程
